one= 0 (-nan) five= 0 (-nan) ten= 0 (-nan) distintos= 0 (-nan)
one= 146 (0.62931) five= 154 (0.663793) ten= 162 (0.698276) distintos= 6 (0.0258621)
one= 146 (0.626609) five= 151 (0.648069) ten= 158 (0.678112) distintos= 6 (0.0257511)
one= 7392 (1) five= 7392 (1) ten= 7392 (1) distintos= 0 (0)
one= 7407 (0.999865) five= 7407 (0.999865) ten= 7407 (0.999865) distintos= 0 (0)
one= 7387 (1) five= 7387 (1) ten= 7387 (1) distintos= 0 (0)
one= 7395 (0.999865) five= 7395 (0.999865) ten= 7395 (0.999865) distintos= 0 (0)
one= 7399 (0.999865) five= 7399 (0.999865) ten= 7399 (0.999865) distintos= 0 (0)
one= 7382 (0.999865) five= 7382 (0.999865) ten= 7382 (0.999865) distintos= 0 (0)
one= 7402 (0.999865) five= 7402 (0.999865) ten= 7402 (0.999865) distintos= 0 (0)
one= 7375 (0.999864) five= 7375 (0.999864) ten= 7375 (0.999864) distintos= 0 (0)
one= 7382 (0.999729) five= 7382 (0.999729) ten= 7382 (0.999729) distintos= 0 (0)
one= 7383 (0.999865) five= 7383 (0.999865) ten= 7383 (0.999865) distintos= 0 (0)
one= 396 (0.918794) five= 403 (0.935035) ten= 405 (0.939675) distintos= 5 (0.0116009)
one= 402 (0.924138) five= 408 (0.937931) ten= 411 (0.944828) distintos= 5 (0.0114943)
one= 411 (0.927765) five= 417 (0.941309) ten= 419 (0.945824) distintos= 3 (0.00677201)
one= 409 (0.93379) five= 416 (0.949772) ten= 419 (0.956621) distintos= 3 (0.00684932)
one= 403 (0.937209) five= 409 (0.951163) ten= 410 (0.953488) distintos= 5 (0.0116279)
one= 406 (0.926941) five= 411 (0.938356) ten= 414 (0.945205) distintos= 3 (0.00684932)
one= 394 (0.916279) five= 402 (0.934884) ten= 404 (0.939535) distintos= 5 (0.0116279)
one= 398 (0.914943) five= 406 (0.933333) ten= 409 (0.94023) distintos= 3 (0.00689655)
one= 402 (0.917808) five= 406 (0.926941) ten= 412 (0.940639) distintos= 4 (0.00913242)
one= 397 (0.914747) five= 403 (0.928571) ten= 406 (0.935484) distintos= 5 (0.0115207)
one= 2 (0.142857) five= 4 (0.285714) ten= 4 (0.285714) distintos= 0 (0)
one= 2 (0.133333) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 2 (0.142857) five= 5 (0.357143) ten= 5 (0.357143) distintos= 0 (0)
one= 3 (0.2) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 3 (0.2) five= 5 (0.333333) ten= 6 (0.4) distintos= 0 (0)
one= 2 (0.133333) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 3 (0.2) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 3 (0.2) five= 5 (0.333333) ten= 5 (0.333333) distintos= 0 (0)
one= 2 (0.142857) five= 5 (0.357143) ten= 5 (0.357143) distintos= 0 (0)
one= 3 (0.2) five= 4 (0.266667) ten= 5 (0.333333) distintos= 0 (0)
one= 11 (0.0287958) five= 28 (0.0732984) ten= 49 (0.128272) distintos= 36 (0.0942408)
one= 11 (0.0286458) five= 28 (0.0729167) ten= 43 (0.111979) distintos= 39 (0.101562)
one= 12 (0.0319149) five= 26 (0.0691489) ten= 44 (0.117021) distintos= 36 (0.0957447)
one= 10 (0.0261097) five= 27 (0.0704961) ten= 45 (0.117493) distintos= 38 (0.0992167)
one= 12 (0.03125) five= 26 (0.0677083) ten= 45 (0.117188) distintos= 33 (0.0859375)
one= 12 (0.0306122) five= 27 (0.0688776) ten= 46 (0.117347) distintos= 37 (0.0943878)
one= 11 (0.0294906) five= 30 (0.080429) ten= 46 (0.123324) distintos= 34 (0.0911528)
one= 11 (0.0290237) five= 28 (0.0738786) ten= 45 (0.118734) distintos= 35 (0.0923483)
one= 11 (0.0287958) five= 29 (0.0759162) ten= 44 (0.115183) distintos= 37 (0.0968586)
one= 11 (0.0293333) five= 26 (0.0693333) ten= 44 (0.117333) distintos= 34 (0.0906667)
one= 64 (0.182336) five= 98 (0.279202) ten= 127 (0.361823) distintos= 69 (0.196581)
one= 64 (0.177778) five= 98 (0.272222) ten= 128 (0.355556) distintos= 70 (0.194444)
one= 65 (0.181058) five= 95 (0.264624) ten= 125 (0.348189) distintos= 72 (0.200557)
one= 62 (0.174648) five= 93 (0.261972) ten= 122 (0.343662) distintos= 69 (0.194366)
one= 59 (0.167614) five= 91 (0.258523) ten= 123 (0.349432) distintos= 71 (0.201705)
one= 58 (0.164306) five= 93 (0.263456) ten= 126 (0.356941) distintos= 70 (0.1983)
one= 65 (0.183616) five= 98 (0.276836) ten= 126 (0.355932) distintos= 68 (0.19209)
one= 59 (0.17052) five= 95 (0.274566) ten= 123 (0.355491) distintos= 67 (0.193642)
one= 61 (0.171348) five= 96 (0.269663) ten= 125 (0.351124) distintos= 70 (0.196629)
one= 68 (0.191549) five= 96 (0.270423) ten= 127 (0.357746) distintos= 70 (0.197183)
one= 91 (0.739837) five= 95 (0.772358) ten= 102 (0.829268) distintos= 1 (0.00813008)
one= 89 (0.760684) five= 92 (0.786325) ten= 98 (0.837607) distintos= 0 (0)
one= 88 (0.733333) five= 92 (0.766667) ten= 98 (0.816667) distintos= 2 (0.0166667)
one= 90 (0.743802) five= 94 (0.77686) ten= 98 (0.809917) distintos= 1 (0.00826446)
one= 89 (0.747899) five= 94 (0.789916) ten= 102 (0.857143) distintos= 0 (0)
one= 88 (0.727273) five= 92 (0.760331) ten= 100 (0.826446) distintos= 1 (0.00826446)
one= 91 (0.739837) five= 96 (0.780488) ten= 103 (0.837398) distintos= 2 (0.0162602)
one= 90 (0.75) five= 93 (0.775) ten= 101 (0.841667) distintos= 0 (0)
one= 86 (0.735043) five= 89 (0.760684) ten= 97 (0.82906) distintos= 0 (0)
one= 94 (0.770492) five= 98 (0.803279) ten= 105 (0.860656) distintos= 1 (0.00819672)
one= 4 (0.2) five= 6 (0.3) ten= 6 (0.3) distintos= 4 (0.2)
one= 5 (0.238095) five= 5 (0.238095) ten= 7 (0.333333) distintos= 3 (0.142857)
one= 5 (0.25) five= 5 (0.25) ten= 8 (0.4) distintos= 4 (0.2)
one= 5 (0.25) five= 5 (0.25) ten= 6 (0.3) distintos= 4 (0.2)
one= 5 (0.238095) five= 7 (0.333333) ten= 8 (0.380952) distintos= 4 (0.190476)
one= 5 (0.25) five= 5 (0.25) ten= 8 (0.4) distintos= 4 (0.2)
one= 5 (0.238095) five= 6 (0.285714) ten= 8 (0.380952) distintos= 4 (0.190476)
one= 4 (0.2) five= 4 (0.2) ten= 6 (0.3) distintos= 4 (0.2)
one= 5 (0.238095) five= 5 (0.238095) ten= 7 (0.333333) distintos= 4 (0.190476)
one= 5 (0.238095) five= 5 (0.238095) ten= 7 (0.333333) distintos= 4 (0.190476)
one= 9 (0.176471) five= 16 (0.313725) ten= 23 (0.45098) distintos= 12 (0.235294)
one= 11 (0.22) five= 17 (0.34) ten= 23 (0.46) distintos= 11 (0.22)
one= 9 (0.183673) five= 14 (0.285714) ten= 21 (0.428571) distintos= 11 (0.22449)
one= 11 (0.207547) five= 19 (0.358491) ten= 24 (0.45283) distintos= 12 (0.226415)
one= 8 (0.16) five= 14 (0.28) ten= 21 (0.42) distintos= 12 (0.24)
one= 10 (0.2) five= 16 (0.32) ten= 24 (0.48) distintos= 11 (0.22)
one= 11 (0.22) five= 18 (0.36) ten= 23 (0.46) distintos= 11 (0.22)
one= 11 (0.207547) five= 17 (0.320755) ten= 23 (0.433962) distintos= 12 (0.226415)
one= 11 (0.2) five= 17 (0.309091) ten= 22 (0.4) distintos= 13 (0.236364)
one= 10 (0.188679) five= 16 (0.301887) ten= 24 (0.45283) distintos= 12 (0.226415)
one= 1796 (0.545897) five= 2209 (0.671429) ten= 2427 (0.73769) distintos= 99 (0.0300912)
one= 1773 (0.536622) five= 2210 (0.668886) ten= 2433 (0.73638) distintos= 100 (0.0302663)
one= 1785 (0.540418) five= 2204 (0.667272) ten= 2417 (0.731759) distintos= 102 (0.030881)
one= 1776 (0.540969) five= 2194 (0.668291) ten= 2430 (0.740177) distintos= 91 (0.0277186)
one= 1803 (0.543563) five= 2239 (0.675008) ten= 2454 (0.739825) distintos= 94 (0.0283389)
one= 1795 (0.542952) five= 2222 (0.672111) ten= 2447 (0.740169) distintos= 101 (0.0305505)
one= 1795 (0.542624) five= 2233 (0.67503) ten= 2448 (0.740024) distintos= 93 (0.0281137)
one= 1782 (0.537719) five= 2234 (0.67411) ten= 2450 (0.739288) distintos= 100 (0.030175)
one= 1804 (0.544522) five= 2233 (0.674011) ten= 2451 (0.739813) distintos= 96 (0.0289768)
one= 1771 (0.538789) five= 2208 (0.671737) ten= 2427 (0.738363) distintos= 97 (0.0295102)
one= 1 (0.0166667) five= 6 (0.1) ten= 8 (0.133333) distintos= 16 (0.266667)
one= 1 (0.0172414) five= 7 (0.12069) ten= 9 (0.155172) distintos= 18 (0.310345)
one= 2 (0.0344828) five= 8 (0.137931) ten= 9 (0.155172) distintos= 19 (0.327586)
one= 1 (0.0175439) five= 6 (0.105263) ten= 8 (0.140351) distintos= 16 (0.280702)
one= 2 (0.0333333) five= 5 (0.0833333) ten= 9 (0.15) distintos= 19 (0.316667)
one= 2 (0.0338983) five= 8 (0.135593) ten= 10 (0.169492) distintos= 16 (0.271186)
one= 1 (0.0175439) five= 8 (0.140351) ten= 8 (0.140351) distintos= 17 (0.298246)
one= 1 (0.0172414) five= 6 (0.103448) ten= 7 (0.12069) distintos= 16 (0.275862)
one= 1 (0.0169492) five= 8 (0.135593) ten= 10 (0.169492) distintos= 18 (0.305085)
one= 1 (0.0172414) five= 7 (0.12069) ten= 8 (0.137931) distintos= 17 (0.293103)
one= 3 (0.0265487) five= 8 (0.0707965) ten= 11 (0.0973451) distintos= 18 (0.159292)
one= 4 (0.036036) five= 8 (0.0720721) ten= 13 (0.117117) distintos= 24 (0.216216)
one= 4 (0.037037) five= 10 (0.0925926) ten= 18 (0.166667) distintos= 23 (0.212963)
one= 3 (0.0275229) five= 7 (0.0642202) ten= 11 (0.100917) distintos= 23 (0.211009)
one= 4 (0.0357143) five= 6 (0.0535714) ten= 12 (0.107143) distintos= 25 (0.223214)
one= 3 (0.0267857) five= 9 (0.0803571) ten= 14 (0.125) distintos= 23 (0.205357)
one= 1 (0.00925926) five= 6 (0.0555556) ten= 11 (0.101852) distintos= 22 (0.203704)
one= 4 (0.036036) five= 8 (0.0720721) ten= 10 (0.0900901) distintos= 22 (0.198198)
one= 2 (0.0178571) five= 9 (0.0803571) ten= 15 (0.133929) distintos= 24 (0.214286)
one= 4 (0.036036) five= 8 (0.0720721) ten= 12 (0.108108) distintos= 23 (0.207207)
one= 12 (0.011236) five= 27 (0.0252809) ten= 50 (0.0468165) distintos= 516 (0.483146)
one= 11 (0.010157) five= 32 (0.0295476) ten= 51 (0.0470914) distintos= 516 (0.476454)
one= 11 (0.010223) five= 29 (0.0269517) ten= 47 (0.0436803) distintos= 537 (0.499071)
one= 11 (0.0102421) five= 31 (0.0288641) ten= 51 (0.047486) distintos= 520 (0.484171)
one= 9 (0.00836431) five= 28 (0.0260223) ten= 49 (0.045539) distintos= 526 (0.488848)
one= 11 (0.010157) five= 30 (0.0277008) ten= 51 (0.0470914) distintos= 537 (0.495845)
one= 9 (0.00827206) five= 29 (0.0266544) ten= 48 (0.0441176) distintos= 531 (0.488051)
one= 10 (0.00918274) five= 29 (0.0266299) ten= 49 (0.0449954) distintos= 537 (0.493113)
one= 10 (0.00914077) five= 30 (0.0274223) ten= 50 (0.0457038) distintos= 527 (0.481718)
one= 8 (0.00748363) five= 27 (0.0252572) ten= 45 (0.0420954) distintos= 521 (0.487371)
one= 6 (0.0315789) five= 8 (0.0421053) ten= 18 (0.0947368) distintos= 31 (0.163158)
one= 6 (0.0314136) five= 8 (0.0418848) ten= 23 (0.120419) distintos= 33 (0.172775)
one= 7 (0.0364583) five= 11 (0.0572917) ten= 26 (0.135417) distintos= 35 (0.182292)
one= 5 (0.0263158) five= 13 (0.0684211) ten= 26 (0.136842) distintos= 40 (0.210526)
one= 6 (0.0319149) five= 8 (0.0425532) ten= 20 (0.106383) distintos= 34 (0.180851)
one= 4 (0.0210526) five= 9 (0.0473684) ten= 19 (0.1) distintos= 37 (0.194737)
one= 7 (0.037234) five= 8 (0.0425532) ten= 22 (0.117021) distintos= 28 (0.148936)
one= 5 (0.0260417) five= 5 (0.0260417) ten= 18 (0.09375) distintos= 29 (0.151042)
one= 6 (0.0304569) five= 11 (0.0558376) ten= 21 (0.106599) distintos= 39 (0.19797)
one= 5 (0.026178) five= 8 (0.0418848) ten= 21 (0.109948) distintos= 37 (0.193717)
one= 78 (0.0636735) five= 123 (0.100408) ten= 171 (0.139592) distintos= 776 (0.633469)
one= 70 (0.0564516) five= 121 (0.0975806) ten= 165 (0.133065) distintos= 798 (0.643548)
one= 72 (0.059455) five= 124 (0.102395) ten= 168 (0.138728) distintos= 769 (0.635012)
one= 76 (0.0618893) five= 125 (0.101792) ten= 164 (0.13355) distintos= 783 (0.637622)
one= 72 (0.0586797) five= 121 (0.0986145) ten= 166 (0.135289) distintos= 790 (0.643847)
one= 70 (0.0562249) five= 121 (0.0971888) ten= 164 (0.131727) distintos= 796 (0.639357)
one= 71 (0.0581491) five= 123 (0.100737) ten= 165 (0.135135) distintos= 779 (0.638002)
one= 77 (0.0621469) five= 124 (0.100081) ten= 168 (0.135593) distintos= 788 (0.635997)
one= 76 (0.0625514) five= 120 (0.0987654) ten= 166 (0.136626) distintos= 777 (0.639506)
one= 68 (0.0553746) five= 123 (0.100163) ten= 166 (0.135179) distintos= 798 (0.649837)
one= 119 (0.414634) five= 152 (0.529617) ten= 166 (0.578397) distintos= 26 (0.0905923)
one= 117 (0.419355) five= 148 (0.530466) ten= 164 (0.587814) distintos= 23 (0.0824373)
one= 123 (0.434629) five= 154 (0.54417) ten= 173 (0.611307) distintos= 25 (0.0883392)
one= 120 (0.428571) five= 151 (0.539286) ten= 166 (0.592857) distintos= 25 (0.0892857)
one= 115 (0.413669) five= 147 (0.528777) ten= 161 (0.579137) distintos= 26 (0.0935252)
one= 111 (0.397849) five= 149 (0.53405) ten= 162 (0.580645) distintos= 25 (0.0896057)
one= 119 (0.419014) five= 151 (0.53169) ten= 169 (0.59507) distintos= 28 (0.0985915)
one= 116 (0.424908) five= 145 (0.531136) ten= 161 (0.589744) distintos= 24 (0.0879121)
one= 120 (0.415225) five= 153 (0.529412) ten= 168 (0.581315) distintos= 26 (0.0899654)
one= 117 (0.420863) five= 148 (0.532374) ten= 163 (0.586331) distintos= 25 (0.0899281)
one= 2 (0.08) five= 5 (0.2) ten= 7 (0.28) distintos= 7 (0.28)
one= 4 (0.142857) five= 6 (0.214286) ten= 7 (0.25) distintos= 8 (0.285714)
one= 4 (0.142857) five= 6 (0.214286) ten= 7 (0.25) distintos= 8 (0.285714)
one= 4 (0.148148) five= 6 (0.222222) ten= 7 (0.259259) distintos= 7 (0.259259)
one= 4 (0.148148) five= 6 (0.222222) ten= 7 (0.259259) distintos= 8 (0.296296)
one= 4 (0.148148) five= 6 (0.222222) ten= 8 (0.296296) distintos= 7 (0.259259)
one= 4 (0.166667) five= 6 (0.25) ten= 7 (0.291667) distintos= 7 (0.291667)
one= 4 (0.148148) five= 6 (0.222222) ten= 7 (0.259259) distintos= 7 (0.259259)
one= 4 (0.148148) five= 6 (0.222222) ten= 7 (0.259259) distintos= 7 (0.259259)
one= 3 (0.111111) five= 5 (0.185185) ten= 7 (0.259259) distintos= 7 (0.259259)
one= 170 (0.453333) five= 210 (0.56) ten= 233 (0.621333) distintos= 26 (0.0693333)
one= 171 (0.458445) five= 205 (0.549598) ten= 230 (0.616622) distintos= 25 (0.0670241)
one= 169 (0.461749) five= 205 (0.560109) ten= 229 (0.625683) distintos= 19 (0.0519126)
one= 170 (0.454545) five= 205 (0.548128) ten= 232 (0.620321) distintos= 27 (0.0721925)
one= 168 (0.45283) five= 203 (0.54717) ten= 228 (0.614555) distintos= 22 (0.0592992)
one= 170 (0.458221) five= 205 (0.552561) ten= 232 (0.625337) distintos= 26 (0.0700809)
one= 169 (0.44709) five= 212 (0.560847) ten= 236 (0.624339) distintos= 26 (0.0687831)
one= 167 (0.453804) five= 207 (0.5625) ten= 231 (0.627717) distintos= 24 (0.0652174)
one= 163 (0.440541) five= 199 (0.537838) ten= 228 (0.616216) distintos= 24 (0.0648649)
